date,code,name,open,high,low,close,volume,amount,MA5,MA10,MA20
2026-06-18 15:00,300308,,1270.0,1368.5,1268.73,1367.88,285516.0,38176550912.0,1257.216,1207.2060000000001,1182.6685
2026-06-17 15:00,300308,,1228.0,1276.13,1220.05,1276.11,217562.0,27272022016.0,1208.44,1198.4180000000001,1163.9415
2026-06-16 15:00,300308,,1240.0,1273.68,1232.46,1248.09,232821.0,29091725312.0,1182.618,1198.307,1151.9859999999999
2026-06-15 15:00,300308,,1175.0,1245.0,1122.0,1245.0,342237.0,40751493120.0,1169.0,1192.679,1141.0814999999998
2026-06-12 15:00,300308,,1182.0,1188.5,1128.18,1149.0,346850.0,40003006464.0,1150.998,1181.179,1131.0814999999998
2026-06-11 15:00,300308,,1136.0,1174.9,1093.0,1124.0,305923.0,34558726144.0,1157.196,1182.395,1126.125
2026-06-10 15:00,300308,,1150.0,1174.0,1128.8,1147.0,228965.0,26382501888.0,1188.396,1189.7939999999999,1123.825
2026-06-09 15:00,300308,,1140.97,1196.16,1126.9,1180.0,398930.0,46676008960.0,1213.9959999999999,1186.2310000000002,1118.935
2026-06-08 15:00,300308,,1132.79,1179.45,1132.0,1154.99,336119.0,38923878400.0,1216.358,1178.5310000000002,1110.8345000000002
2026-06-05 15:00,300308,,1273.2,1301.51,1160.0,1179.99,474740.0,58324832256.0,1211.3600000000001,1172.3319999999999,1100.0915
2026-06-04 15:00,300308,,1250.0,1290.0,1241.36,1280.0,217142.0,27594721280.0,1207.5939999999998,1158.1309999999999,1085.392
2026-06-03 15:00,300308,,1220.0,1320.0,1220.0,1275.0,345250.0,43881189376.0,1191.1919999999998,1129.465,1065.2655
2026-06-02 15:00,300308,,1153.6,1205.58,1140.01,1191.81,290063.0,34167017472.0,1158.466,1105.665,1044.3155
2026-06-01 15:00,300308,,1161.0,1183.61,1113.9,1130.0,269781.0,30968403968.0,1140.7040000000002,1089.484,1027.6
2026-05-29 15:00,300308,,1190.0,1209.99,1155.0,1161.16,287267.0,33891956736.0,1133.304,1080.984,1013.4
2026-05-28 15:00,300308,,1100.0,1199.79,1085.56,1197.99,287465.0,32911837184.0,1108.6680000000001,1069.855,996.592
2026-05-27 15:00,300308,,1090.0,1147.0,1088.67,1111.37,250688.0,28064034816.0,1067.738,1057.856,979.5440000000001
2026-05-26 15:00,300308,,1079.0,1110.0,1076.0,1103.0,234391.0,25717381120.0,1052.864,1051.639,968.325
2026-05-25 15:00,300308,,1054.99,1094.98,1025.55,1093.0,250760.0,26633291776.0,1038.264,1043.138,958.025
2026-05-22 15:00,300308,,1010.04,1044.87,1006.18,1037.98,209337.0,21509318656.0,1028.664,1027.851,947.7059999999999
2026-05-21 15:00,300308,,1060.0,1065.0,993.34,993.34,237726.0,24395401216.0,1031.042,1012.653,939.05
2026-05-20 15:00,300308,,1019.11,1071.0,1019.11,1037.0,225973.0,23581065216.0,1047.974,1001.066,931.883
2026-05-19 15:00,300308,,1026.0,1037.38,988.88,1030.0,272749.0,27528009728.0,1050.414,982.966,922.583
2026-05-18 15:00,300308,,1030.03,1075.0,1030.03,1045.0,243132.0,25546321920.0,1048.012,965.716,911.5635
2026-05-15 15:00,300308,,1068.99,1099.87,1034.0,1049.87,276252.0,29275322368.0,1027.038,945.816,898.3125
