date,code,name,open,high,low,close,volume,amount
2026-06-18 15:00,600519,,1235.0,1238.87,1211.22,1215.0,57471.0,7016713728.0
2026-06-17 15:00,600519,,1258.0,1259.77,1238.56,1240.0,44803.0,5581256192.0
2026-06-16 15:00,600519,,1267.01,1267.88,1255.0,1255.67,34969.0,4399957504.0
2026-06-15 15:00,600519,,1292.7,1292.7,1270.1,1271.1,41585.0,5303655936.0
2026-06-12 15:00,600519,,1271.18,1295.0,1265.01,1291.91,50494.0,6477910016.0
2026-06-11 15:00,600519,,1272.12,1282.88,1266.91,1279.0,25351.0,3230008320.0
2026-06-10 15:00,600519,,1252.08,1282.0,1250.21,1275.88,39244.0,4991686656.0
2026-06-09 15:00,600519,,1262.99,1263.0,1252.55,1256.0,27860.0,3500590592.0
2026-06-08 15:00,600519,,1272.0,1278.0,1260.0,1262.98,30828.0,3898027008.0
2026-06-05 15:00,600519,,1278.0,1283.0,1267.74,1272.86,31303.0,3984001792.0
2026-06-04 15:00,600519,,1278.99,1288.99,1266.69,1268.0,33506.0,4273269248.0
2026-06-03 15:00,600519,,1304.0,1304.0,1276.0,1281.91,52476.0,6743202816.0
2026-06-02 15:00,600519,,1306.0,1326.36,1301.0,1307.22,36361.0,4769963008.0
2026-06-01 15:00,600519,,1327.0,1327.0,1301.31,1309.6,43844.0,5741133312.0
2026-05-29 15:00,600519,,1270.6,1329.0,1270.0,1326.0,76478.0,10037388288.0
2026-05-28 15:00,600519,,1290.0,1304.0,1271.0,1275.98,45889.0,5895475200.0
2026-05-27 15:00,600519,,1268.02,1319.0,1250.1,1303.0,82727.0,10586574848.0
2026-05-26 15:00,600519,,1285.35,1289.89,1270.01,1273.38,45931.0,5867830784.0
2026-05-25 15:00,600519,,1287.0,1304.79,1277.0,1285.88,46352.0,5978725376.0
2026-05-22 15:00,600519,,1310.95,1311.91,1290.12,1290.2,49157.0,6372389376.0
2026-05-21 15:00,600519,,1312.98,1323.52,1311.0,1311.0,38868.0,5112740352.0
2026-05-20 15:00,600519,,1321.0,1332.99,1314.0,1315.0,47487.0,6271273984.0
2026-05-19 15:00,600519,,1321.9,1329.99,1318.0,1324.3,43254.0,5719170560.0
2026-05-18 15:00,600519,,1336.0,1342.68,1319.61,1323.0,49660.0,6594983936.0
2026-05-15 15:00,600519,,1335.15,1339.28,1327.11,1332.95,58183.0,7749366784.0
2026-05-14 15:00,600519,,1338.0,1369.06,1335.18,1342.17,55244.0,7428592640.0
2026-05-13 15:00,600519,,1354.5,1358.6,1338.0,1344.09,56967.0,7653257216.0
2026-05-12 15:00,600519,,1362.0,1363.58,1350.5,1354.55,50837.0,6886304768.0
2026-05-11 15:00,600519,,1372.89,1372.89,1361.0,1361.33,57135.0,7790721536.0
2026-05-08 15:00,600519,,1371.66,1382.77,1370.0,1372.99,33368.0,4582856192.0
2026-05-07 15:00,600519,,1375.0,1388.0,1370.01,1371.05,40461.0,5573286400.0
2026-05-06 15:00,600519,,1365.1,1379.0,1360.05,1375.0,47806.0,6550750720.0
2026-04-30 15:00,600519,,1400.0,1401.17,1380.0,1384.79,52752.0,7316111872.0
2026-04-29 15:00,600519,,1405.0,1409.75,1400.28,1401.17,34813.0,4881691136.0
2026-04-28 15:00,600519,,1402.0,1409.39,1400.11,1405.0,34004.0,4772513792.0
2026-04-27 15:00,600519,,1420.0,1420.0,1402.2,1403.2,72797.0,10239763456.0
2026-04-24 15:00,600519,,1413.1,1458.88,1413.1,1458.49,55455.0,8003410944.0
