date,code,name,open,high,low,close,volume,amount,MA5,MA10,MA20
2024-11-27,399006,,2136.707,2209.158,2119.535,2208.781,25800697149.0,0,2195.0998,2226.9494999999997,2263.565052631579
2024-11-28,399006,,2204.49,2206.848,2165.526,2169.803,27639980338.0,0,2175.8872,2210.4334000000003,2258.87695
2024-11-29,399006,,2162.522,2264.679,2162.522,2224.003,30288030089.0,0,2185.5736,2208.4717,2263.8902000000003
2024-12-02,399006,,2212.359,2261.144,2210.856,2255.498,31135009017.0,0,2201.6364000000003,2214.9265,2267.3659
2024-12-03,399006,,2252.754,2261.39,2224.692,2245.499,30648110660.0,0,2220.7167999999997,2213.8157,2265.1488
2024-12-04,399006,,2237.649,2246.039,2204.39,2213.406,28994212352.0,0,2221.6418000000003,2208.3707999999997,2262.52745
2024-12-05,399006,,2207.499,2237.088,2207.499,2221.457,27006383776.0,0,2231.9726,2203.9299,2256.0623
2024-12-06,399006,,2219.908,2289.809,2213.324,2267.064,31585392646.0,0,2240.5847999999996,2213.0792,2253.33615
2024-12-09,399006,,2265.188,2273.081,2229.514,2248.627,27528875410.0,0,2239.2106,2220.4235,2246.14535
2024-12-10,399006,,2358.288,2358.485,2258.019,2264.051,36836534310.0,0,2242.921,2231.8188999999998,2239.80775
2024-12-11,399006,,2260.7,2278.788,2251.354,2261.582,29492675354.0,0,2252.5562,2237.0989999999997,2232.02425
2024-12-12,399006,,2257.308,2302.644,2256.065,2292.145,30842059067.0,0,2266.6938,2249.3332,2229.8833
2024-12-13,399006,,2272.266,2276.127,2234.17,2235.259,32853797101.0,0,2260.3327999999997,2250.4587999999994,2229.46525
2024-12-16,399006,,2232.625,2234.186,2192.252,2201.532,27378793388.0,0,2250.9138,2245.0622,2229.99435
2024-12-17,399006,,2197.126,2233.172,2197.126,2201.181,24875348055.0,0,2238.3398,2240.6304,2227.22305
2024-12-18,399006,,2207.182,2216.003,2192.597,2202.137,21648147554.0,0,2226.4508,2239.5035,2223.93715
2024-12-19,399006,,2178.463,2220.433,2174.943,2213.543,22171926117.0,0,2210.7304,2238.7121,2221.321
